   60
HE+ 0/H + 1  24/P=4.000D+00/S=1.000D+00/A=4.731D+00/E=0.000D+00/T=CX /ISEL=    1
 1.553D-15 1.919D-15 2.203D-15 1.848D-15 1.309D-15 1.003D-15
 8.106D-16 5.852D-16 4.126D-16 2.765D-16 2.079D-16 1.389D-16
 1.043D-16 8.350D-17 5.969D-17 4.181D-17 2.788D-17 2.092D-17
HE+ 0/BE+ 4  20/P=4.000D+00/S=9.000D+00/A=0.728D+00/E=2.458D+01/T=ION/ISEL=   31
 5.000D+03 7.000D+03 1.000D+04 1.500D+04 2.000D+04 3.000D+04
 4.000D+04 5.000D+04 7.000D+04 1.000D+05 1.500D+05 2.000D+05
 3.000D+05 4.000D+05 5.000D+05 7.000D+05 1.000D+06 1.500D+06
 2.000D+06 5.000D+06 
 2.720D-18 3.080D-18 3.600D-18 4.550D-18 5.750D-18 9.350D-18
 1.640D-17 3.400D-17 1.270D-16 3.100D-16 4.600D-16 5.190D-16
 5.200D-16 4.750D-16 4.450D-16 3.800D-16 3.100D-16 2.380D-16
 1.910D-16 9.800D-17  
HE+ 0/BE+ 4  20/P=4.000D+00/S=9.000D+00/A=0.728D+00/E=2.458D+01/T=ION/ISEL=   32
 5.000D+03 7.000D+03 1.000D+04 1.500D+04 2.000D+04 3.000D+04
 4.000D+04 5.000D+04 7.000D+04 1.000D+05 1.500D+05 2.000D+05
 3.000D+05 4.000D+05 5.000D+05 7.000D+05 1.000D+06 1.500D+06
 2.000D+06 5.000D+06 
 1.330D-19 3.250D-19 8.500D-19 2.500D-18 5.300D-18 1.580D-17
 3.400D-17 6.200D-17 1.550D-16 2.820D-16 4.280D-16 5.000D-16
 5.100D-16 4.750D-16 4.450D-16 3.800D-16 3.100D-16 2.380D-16
 1.910D-16 9.800D-17 
HE+ 0/BE+ 4  24/P=4.000D+00/S=9.000D+00/A=0.728D+00/E=4.767D+00/T=ION/ISEL=   33
 1.000D+03 1.500D+03 2.000D+03 3.000D+03 4.000D+03 5.000D+03
 7.000D+03 1.000D+04 1.500D+04 2.000D+04 3.000D+04 4.000D+04
 5.000D+04 7.000D+04 1.000D+05 1.500D+05 2.000D+05 3.000D+05
 4.000D+05 5.000D+05 7.000D+05 1.000D+06 1.500D+06 2.000D+06
 9.855D-16 1.762D-15 2.409D-15 3.453D-15 4.293D-15 5.009D-15
